Dashboard control CAT LORAIOT,Dashboard offset 1second
Fri May 15 2020 15:00:44 GMT+0700 (Indochina Time),15:01:36
Fri May 15 2020 15:01:57 GMT+0700 (Indochina Time),15:02:38
Fri May 15 2020 15:04:01 GMT+0700 (Indochina Time),15:04:40
Fri May 15 2020 15:06:15 GMT+0700 (Indochina Time),15:06:56
Fri May 15 2020 15:16:55 GMT+0700 (Indochina Time),15:18:26
Fri May 15 2020 15:32:47 GMT+0700 (Indochina Time),15:33:23
Fri May 15 2020 15:33:09 GMT+0700 (Indochina Time),15:33:49
Fri May 15 2020 15:33:26 GMT+0700 (Indochina Time),15:34:01
Fri May 15 2020 15:33:42 GMT+0700 (Indochina Time),15:34:26
Fri May 15 2020 15:36:41 GMT+0700 (Indochina Time),15:37:19
Fri May 15 2020 15:43:39 GMT+0700 (Indochina Time),15:42:51
Fri May 15 2020 15:47:12 GMT+0700 (Indochina Time),15:47:59
Fri May 15 2020 15:54:02 GMT+0700 (Indochina Time),15:54:57
Fri May 15 2020 15:55:04 GMT+0700 (Indochina Time),15:55:46
Fri May 15 2020 15:55:28 GMT+0700 (Indochina Time),15:56:11
Fri May 15 2020 15:56:32 GMT+0700 (Indochina Time),15:57:13
Fri May 15 2020 15:57:45 GMT+0700 (Indochina Time),15:58:27
Fri May 15 2020 15:58:11 GMT+0700 (Indochina Time),15:59:03
Fri May 15 2020 16:04:37 GMT+0700 (Indochina Time),16:05:13
Fri May 15 2020 16:11:32 GMT+0700 (Indochina Time),16:12:12
Fri May 15 2020 16:23:48 GMT+0700 (Indochina Time),16:24:06
Fri May 15 2020 16:24:33 GMT+0700 (Indochina Time),16:24:55
Fri May 15 2020 16:25:06 GMT+0700 (Indochina Time),16:25:10
Fri May 15 2020 16:30:09 GMT+0700 (Indochina Time),16:30:54
Fri May 15 2020 16:42:16 GMT+0700 (Indochina Time),16:42:58
Fri May 15 2020 16:42:44 GMT+0700 (Indochina Time),16:43:23
Fri May 15 2020 16:49:50 GMT+0700 (Indochina Time),16:50:34
Fri May 15 2020 16:54:00 GMT+0700 (Indochina Time),16:54:40
Fri May 15 2020 16:54:51 GMT+0700 (Indochina Time),16:55:30
Fri May 15 2020 17:34:57 GMT+0700 (Indochina Time),17:35:42
Fri May 15 2020 17:38:55 GMT+0700 (Indochina Time),17:39:36
Fri May 15 2020 17:49:03 GMT+0700 (Indochina Time),17:49:40
Fri May 15 2020 17:49:45 GMT+0700 (Indochina Time),17:50:29
Fri May 15 2020 17:51:00 GMT+0700 (Indochina Time),17:51:43
Fri May 15 2020 17:58:25 GMT+0700 (Indochina Time),17:59:06
Fri May 15 2020 17:58:55 GMT+0700 (Indochina Time),17:59:31
Fri May 15 2020 18:00:01 GMT+0700 (Indochina Time),18:00:44
Fri May 15 2020 18:05:20 GMT+0700 (Indochina Time),18:06:05
Fri May 15 2020 18:05:48 GMT+0700 (Indochina Time),18:06:29
Fri May 15 2020 18:06:16 GMT+0700 (Indochina Time),18:06:54
Fri May 15 2020 18:11:14 GMT+0700 (Indochina Time),18:12:02
Fri May 15 2020 18:12:10 GMT+0700 (Indochina Time),18:12:51
Fri May 15 2020 18:13:09 GMT+0700 (Indochina Time),18:13:52
Fri May 15 2020 18:19:05 GMT+0700 (Indochina Time),18:19:50
Fri May 15 2020 18:35:54 GMT+0700 (Indochina Time),18:36:39
Fri May 15 2020 18:38:39 GMT+0700 (Indochina Time),18:40:21
Fri May 15 2020 18:40:38 GMT+0700 (Indochina Time),18:42:12
Fri May 15 2020 18:44:44 GMT+0700 (Indochina Time),18:46:32
Fri May 15 2020 18:46:31 GMT+0700 (Indochina Time),18:47:22
Fri May 15 2020 18:53:55 GMT+0700 (Indochina Time),18:54:55
Fri May 15 2020 18:55:03 GMT+0700 (Indochina Time),18:55:48
